player,position,team,our_proj,our_rank,adp_rank,value,call,tier,reason,contested,years_exp,age,sleeper_rank,sleeper_agrees
Josh Allen,QB,BUF,248.33204011001914,2.0,1.0,-1.0,,,,,8.0,30.28062970568104,1.0,0.0
Lamar Jackson,QB,BAL,238.62146109971022,4.0,2.0,-2.0,,,,,8.0,29.648186173853524,3.0,1.0
Drake Maye,QB,NE,229.75849242542975,6.0,3.0,-3.0,,,,,2.0,24.005475701574262,2.0,0.0
Joe Burrow,QB,CIN,206.04677039898942,17.0,4.0,-13.0,FADE,HIGH,declining,,6.0,29.724845995893222,6.0,1.0
Jayden Daniels,QB,WAS,203.02181891972268,18.0,5.0,-13.0,,,,,2.0,25.70294318959617,4.0,0.0
Jalen Hurts,QB,PHI,249.84255341333727,1.0,6.0,5.0,BUY,MEDIUM,,,6.0,28.0684462696783,5.0,1.0
Jaxson Dart,QB,NYG,214.08945015349124,14.0,7.0,-7.0,,,,,1.0,23.30458590006845,10.0,1.0
Justin Herbert,QB,LAC,246.26485984346795,3.0,8.0,5.0,BUY,MEDIUM,,,6.0,28.47912388774812,9.0,0.0
Caleb Williams,QB,CHI,223.2242949716315,9.0,9.0,0.0,,,,,2.0,24.78576317590691,11.0,
Trevor Lawrence,QB,JAX,223.47789145914578,8.0,10.0,2.0,,,,,5.0,26.90485968514716,8.0,1.0
Dak Prescott,QB,DAL,221.8411910007768,10.0,11.0,1.0,,,,,10.0,33.09240246406571,7.0,1.0
Patrick Mahomes,QB,KC,235.9856846104475,5.0,12.0,7.0,BUY,MEDIUM,,,9.0,30.95687885010267,17.0,0.0
Brock Purdy,QB,SF,212.6409986635476,15.0,13.0,-2.0,,,,,4.0,26.680355920602327,13.0,0.0
Matthew Stafford,QB,LA,216.9342640286261,13.0,14.0,1.0,,,,,15.0,38.56536618754278,16.0,0.0
Bo Nix,QB,DEN,226.8511926373553,7.0,15.0,8.0,BUY,HIGH,,,2.0,26.5160848733744,12.0,1.0
Jordan Love,QB,GB,194.35975509581786,19.0,16.0,-3.0,,,,,5.0,27.83025325119781,15.0,0.0
Jared Goff,QB,DET,210.06670441196567,16.0,17.0,1.0,,,,,10.0,31.88227241615332,14.0,1.0
